relay,mean,variance,standard deviation,mean absolute deviation,median absolute deviation
1AE039EE0B11DB79E4B4B29CBA9F752864A0259E,0.29764311909675595,0.0017509706030669168,0.03200233516006529,0.022224437793095877,0.011677176767587607
1AE180250D80A692077EDA35CC8E7387A9FDF220,0.5899819393952688,0.005268432074062542,0.06566326783697868,0.04838508288065587,0.03526543055772776
1AE949967F82BBE7534A3D6BA77A7EBE1CED4369,0.7906748950481415,0.014345274371850967,0.09906203198697607,0.06950345873832697,0.05508739095330232
1AEDA5A5379E58A81DE05B4941D915C457110863,1.01087655804374,0.01931979506672861,0.11408380915773768,0.07094878716902292,0.02420414743423457
1AFF59F9B2579D78284EF7173A183F34086D4B56,0.3200879355271657,0.001626456480035475,0.03858135919108623,0.02737575372060135,0.02498599964976306
1B1C5CE6AD6F597AD757079BADAA48EEE33793C3,0.22697018186251317,0.0013451043555926417,0.03141154998772742,0.021589970588684032,0.01691182352900501
1B3E48D75E7F7E61D1B9BBE24BA15A38B454380D,0.6790192425251007,0.009030075638182875,0.08908393631640986,0.06543480952580764,0.05600877915620799
1B4573EAFCA70869FE85BA0EA73E805286936520,0.5730147878328959,0.003156424241372567,0.05506036081519585,0.03940100193023677,0.0275230832099914
1B605B2751279B152CA098ED76B1EBCC9ADCA239,0.2739915867646535,0.0016937548990313166,0.035968267731040504,0.026606489419937093,0.022946011203527402
1B6B37BAE2607E2B6C81685A23556EB7CFB9961C,0.62057004570961,0.004090428753734633,0.061400073834106235,0.041087718009948676,0.034136947619914954
1B6D9FEF5C2F9C6B5BF3C9FAA9131D69B70A35B0,0.3195772756229747,0.003836574728237582,0.04927583297538141,0.03635102098638355,0.02368029098510738
1B6E54DD1073FEB550C715647EF91985AC507C68,1.4558758974075316,0.0067455505919889,0.0821313009271675,0.0514073038101196,0.0139769283771514
1B786EA18DF3D7F1AC93F80FA7F88978048DD8B4,1.5721938014030457,0.5247129113439468,0.3498029359332681,0.22268273274103798,0.06133186940550798
1B8FAEDFD428C546A9DCC9EC15E13C0550222D44,0.365148131052653,0.008239105077505016,0.0476008493640013,0.030934700568517007,0.013165221881866399
1B90395827F7499A37C73F09BC5AA0225808F6FC,0.28818240165710446,0.004407524362031883,0.058143160364100326,0.04163625041643775,0.035579025685787156
1B9235656503E80E913E9C9A139AD89D36E2DFFD,0.3021214962005615,0.00985639230597525,0.07484547950781881,0.04869777083396908,0.02252049566507336
1B9C26C1DAB190EAD3EBADB70914E0949ADC2588,0.37892964084943137,0.003276902326977892,0.0435682013048842,0.03126568516095475,0.02774193113446229
1B9FACF25E17D26E307EA7CFA7D455B144B032E5,0.24295892318089798,0.003681555187051003,0.047573484531456704,0.038058156569798746,0.031508769476413664
1BA2F9436C0018A4B52625D071B72F648522B748,0.31622339884440104,0.001165249492483107,0.03289232228745607,0.024485590855280525,0.022761892628669688
1BA7782D8A9F21CDB9E6A6B6820D5DDD9685D001,0.2625825977325439,0.0008401913658646799,0.027527512115213336,0.019695445060729937,0.020182011551856963
1BB98B6F6EBCB616D0BD9485EA4B6FA7A7501D74,0.2270231842994689,0.0004642307766290885,0.020502840399409594,0.015404111146926842,0.015284050959348617
1BBCAEB763CA46DEB565A7251FAA6AC79A388ADD,0.7745283643404641,0.009423008470849892,0.09104965108374939,0.06457926233609511,0.06126233706474299
1BBD716B4973D96E570D334A5776978BFF7E0E5D,0.30083676775296525,0.0006652314915739396,0.023859524678044364,0.01740764617919917,0.01391028278470035
1BC78DF308807DDD6F3C06488BD88AF2B04BA9C7,0.3953235578536987,0.00189993764379308,0.04106625233526382,0.029356433868408183,0.022939822368621778
1BDBE9C0F7034E6789A9BF7BED82BE2045F0F5B7,0.2640971382459005,0.0010476479697771417,0.029097005104740576,0.019531173308690333,0.012797986257076217
1BEDDE92960C406B94984086407DE78DCA333036,0.2537633570757779,0.002542782356273382,0.037366576273537455,0.026398815241726912,0.014088290450789664
1BF8FFAFA88CC6BFDB0383EC61AFA645403CE44B,0.24595705986022948,0.0007538723292597801,0.026541025574326298,0.018541783332824642,0.01070844589233394
1C0114B974AF5472091E47EF04BB2D56859E87AE,0.7938496047800239,0.01775480942815494,0.10267724559484193,0.08383429830724538,0.09614917245561423
1C0736CF3744A3B87C2D2269B8BD3388C7E60552,0.26447022358576455,0.0017151232381553835,0.03609212960252975,0.02550241907437638,0.022631871128082223
1C0BF40F498906D94CD9658B2A1199C6E1737EEE,0.36336565017700195,0.006177492161220866,0.07241810303010916,0.04910198529561353,0.03813194217681883
1C0D0AF3FF05CCBBA4B6ED262196A4C5A76102E6,0.2937808227539062,0.01172860339523091,0.06172780711774837,0.04088937997817989,0.024080995216369572
1C1C275B8E9F8D0824424DDFABCA488BA24756B0,0.3910084446271261,0.005725752111635473,0.0468532907103415,0.031206399202346746,0.017179584163427308
